Name,Price,Discount,Rating,Specs
"realme P4 5G (Engine Blue, 128 GB)",16999,19% off,4.4,6 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP + 8MP | 16MP Front Camera; 7000 mAh Battery; Mediatek Dimensity 7400 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 15T 5G (Flowing Silver, 128 GB)",20999,8% off,4.3,8 GB RAM | 128 GB ROM; 16.69 cm (6.57 inch) Full HD Display; 50MP + 2MP | 50MP Front Camera; 7000 mAh Battery; MediaTek Dimensity 6400 MAX Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Nothing Phone (3a) Pro (Black, 128 GB)",27999,15% off,4.5,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3a) Pro (Grey, 256 GB)",31999,13% off,4.5,12 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"POCO M7 5G (Ocean Blue, 128 GB)",8499,34% off,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5160 mAh Battery; 4 Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme 15x 5G (Marine Blue, 128 GB)",17999,10% off,4.5,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.27 cm (6.8 inch) Display; 50MP Rear Camera | 50MP Front Camera; 7000 mAh Battery; Dimensity 6300 6nm Octa-core chipset Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"MOTOROLA g35 5G (Leaf Green, 128 GB)",8999,28% off,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.07 cm (6.72 inch) Full HD+ Display; 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; T760 Processor; 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology; 1 Year on Handset and 6 Months on Accessories
"vivo T4x 5G (Pronto Purple, 128 GB)",13499,25% off,4.4,6 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",39999,46% off,4.6,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Nothing Phone (3) (Black, 512 GB)",89999,5% off,4.4,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",7499,40% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Motorola g45 5G (Brilliant Blue, 128 GB)",11999,20% off,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,46% off,4.6,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
